lisan/imtihan/1	был полезным / старался вредить	أفادَ / ضارَّ
lisan/imtihan/2	свободный / занятый	فارِغٌ / مَشْغُولٌ
lisan/imtihan/3	расширил / сузил	وَسَّعَ / ضَيَّقَ
lisan/imtihan/4	усилил / ослабил	قَوَّى / ضَعُفَ
lisan/imtihan/5	разошёлся / согласился	اِخْتَلَفَ / اِتَّفَقَ
lisan/imtihan/6	победил / потерпел поражение	اِنْتَصَرَ / اِنْهَزَمَ
lisan/imtihan/7	вернул / оставил	اِسْتَعادَ / تَرَكَ
lisan/imtihan/8	соединил / разъединил	ضَمَّ / فَرَّقَ
lisan/imtihan/9	пришёл / ушёл	أَتى / ذَهَبَ
lisan/imtihan/10	экспорт / импорт	صادِرٌ / وارِدٌ
lisan/imtihan/11	потерял / нашёл	فَقَدَ / وَجَدَ
lisan/imtihan/12	помнил / забыл	تَذَكَّرَ / نَسِيَ
lisan/imtihan/13	доверие / предательство	أَمانَةٌ / خِيانَةٌ
lisan/imtihan/14	надеелся / отчаялся	أَمَلَ / يَئِسَ
lisan/imtihan/15	cопутствовал / оставил	لازَمَ / تَرَكَ
lisan/imtihan/16	был годным / причинил вред	نَفَعَ / ضَرَّ
lisan/imtihan/17	отдалился / приблизился	اِبْتَعَدَ / اِقْتَرَبَ
lisan/imtihan/18	запретил / позволил	حَرَّمَ / أَحَلَّ
lisan/imtihan/19	прервался / связался	اِنْقَطَعَ / اِتَّصَلَ
lisan/imtihan/20	чувствовал безопасность / чувствовал страх	أَمِنَ / خافَ
lisan/imtihan/21	строил / разрушал	عَمَّرَ / خَرَّبَ
